"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
  1,"Harry Potter and the Deathly Hallows: Part II","7/15/2011","Warner Bros.","Adventure","PG-13",  381011219,  47865731,  377660618
  2,"Transformers: Dark of the Moon","6/29/2011","Paramount Pictures","Action","PG-13",  352390543,  44270169,  349291633
  3,"The Twilight Saga: Breaking Dawn, Part 1","11/18/2011","Summit Entertainment","Drama","PG-13",  275530738,  34614414,  273107726
  4,"The Hangover 2","5/26/2011","Warner Bros.","Comedy","R",  254464305,  31967878,  252226557
  5,"Pirates of the Caribbean: On Stranger Tides","5/20/2011","Walt Disney Pictures","Adventure","PG-13",  241063875,  30284406,  238943963
  6,"Fast Five","4/29/2011","Universal","Action","PG-13",  209837675,  26361517,  207992369
  7,"Cars 2","6/24/2011","Walt Disney Pictures","Adventure","G",  191450875,  24051617,  189767258
  8,"Thor","5/6/2011","Paramount Pictures","Action","PG-13",  181030624,  22742541,  179438648
  9,"Rise of the Planet of the Apes","8/5/2011","20th Century Fox","Adventure","PG-13",  176760185,  22206053,  175205758
 10,"Captain America: The First Avenger","7/22/2011","Paramount Pictures","Action","PG-13",  176654505,  22192777,  175101011
 11,"The Help","8/10/2011","Walt Disney Pictures","Drama","PG-13",  169499546,  21293913,  168008974
 12,"Bridesmaids","5/13/2011","Universal","Comedy","R",  169106725,  21244563,  167619602
 13,"Kung Fu Panda 2","5/26/2011","Paramount Pictures","Adventure","PG",  165249063,  20759933,  163795871
 14,"X-Men: First Class","6/3/2011","20th Century Fox","Action","PG-13",  146408305,  18393003,  145120794
 15,"Puss in Boots","10/28/2011","Paramount Pictures","Adventure","PG",  145483661,  18276842,  144204283
 16,"Rio","4/15/2011","20th Century Fox","Adventure","PG",  143619809,  18042690,  142356824
 17,"The Smurfs","7/29/2011","Sony Pictures","Adventure","PG",  142614158,  17916352,  141360017
 18,"Mission: Impossible - Ghost Protocol","12/16/2011","Paramount Pictures","Action","PG-13",  132406086,  16633930,  131241708
 19,"Sherlock Holmes: A Game of Shadows","12/16/2011","Warner Bros.","Action","PG-13",  130903746,  16445194,  129752581
 20,"Super 8","6/10/2011","Paramount Pictures","Thriller/Suspense","PG-13",  127004179,  15955299,  125887309
 21,"Rango","3/4/2011","Paramount Pictures","Adventure","PG",  123257581,  15484621,  122173660
 22,"Horrible Bosses","7/8/2011","Warner Bros.","Comedy","R",  117538559,  14766151,  116504931
 23,"Green Lantern","6/17/2011","Warner Bros.","Action","PG-13",  116601172,  14648388,  115575781
 24,"The King's Speech","11/26/2010","Weinstein Co.","Drama","R",  115865048,  14555911,  114846138
 25,"The Lion King","6/15/1994","Walt Disney Pictures","Adventure","G",  109946967,  13812433,  108980096
 26,"Hop","4/1/2011","Universal","Comedy","PG",  108085305,  13578556,  107134807
 27,"Paranormal Activity 3","10/21/2011","Paramount Pictures","Horror","R",  103993239,  13064477,  103078724
 28,"Just Go With It","2/11/2011","Sony Pictures","Romantic Comedy","PG-13",  103028109,  12943230,  102122085
 29,"Bad Teacher","6/24/2011","Sony Pictures","Comedy","R",  100292856,  12599605,  99410883
 30,"Cowboys and Aliens","7/29/2011","Universal","Action","PG-13",  100240551,  12593034,  99359038
 31,"Gnomeo and Juliet","2/11/2011","Walt Disney Pictures","Comedy","G",  99967670,  12558753,  99088561
 32,"The Green Hornet","1/14/2011","Sony Pictures","Action","PG-13",  98780042,  12409553,  97911373
 33,"Alvin and the Chipmunks: Chipwrecked","12/16/2011","20th Century Fox","Comedy","G",  92729134,  11649389,  91913679
 34,"Real Steel","10/7/2011","Walt Disney Pictures","Action","PG-13",  84493241,  10614729,  83750212
 35,"True Grit","12/22/2010","Paramount Pictures","Western","PG-13",  84379946,  10600496,  83637913
 36,"Crazy, Stupid, Love","7/29/2011","Warner Bros.","Comedy","PG-13",  84351197,  10596884,  83609415
 37,"Battle: Los Angeles","3/11/2011","Sony Pictures","Action","PG-13",  83552429,  10496536,  82817669
 38,"Immortals","11/11/2011","Relativity","Action","R",  82656999,  10384045,  81930115
 39,"The Muppets","11/23/2011","Walt Disney Pictures","Comedy","PG",  82529452,  10368022,  81803694
 40,"Zookeeper","7/8/2011","Sony Pictures","Romantic Comedy","PG",  80360866,  10095586,  79654174
 41,"Limitless","3/18/2011","Relativity","Thriller/Suspense","PG",  79249455,  9955962,  78552540
 42,"Tower Heist","11/4/2011","Universal","Comedy","PG-13",  76733915,  9639939,  76059119
